price,flat_type,flat_floor,builing_floor,street,number_of_building,building_area,Size (m²),Rooms,Price/m²
3730000,Студия,7,24,ул.Эйнштейна,стр.1,Новоивановское,22.8,0,163596.49122807017
4700000,1-к квартира,14,24,ул.Эйнштейна,стр.2,Новоивановское,38.0,1,123684.21052631579
4850000,1-к квартира,11,15,ул.Эйнштейна,стр.1,Новоивановское,34.6,1,140173.41040462427
4080000,Студия,2,14,ул.Эйнштейна,стр.2,Москва,25.5,0,160000.0
4800000,1-к квартира,22,22,ул.Эйнштейна,стр.1,Новоивановское,34.2,1,140350.87719298244
4750000,1-к квартира,3,15,ул.Эйнштейна,стр.2,Новоивановское,34.6,1,137283.23699421965
3200000,Студия,14,24,ул.Эйнштейна,стр.1,Новоивановское,19.2,0,166666.6666666667
6600000,2-к квартира,11,15,ул.Эйнштейна,стр.1,Новоивановское,57.0,2,115789.47368421052
6399000,2-к квартира,3,22,ул.Эйнштейна,стр.1,Новоивановское,54.0,2,118500.0
3750000,Студия,15,16,ул.Эйнштейна,стр.3,Москва,23.0,0,163043.47826086957
4600000,1-к квартира,12,22,ул.Эйнштейна,стр.1,Новоивановское,32.0,1,143750.0
3800000,Студия,15,22,ул.Эйнштейна,стр.2,Новоивановское,22.0,0,172727.27272727274
5300000,1-к квартира,6,22,ул.Эйнштейна,стр.2,Москва,40.0,1,132500.0
4100000,Студия,16,25,овациярабочийпос.Новоивановское,,,23.0,0,178260.86956521738
6900000,2-к квартира,12,15,ул.Эйнштейна,стр.1,Новоивановское,57.1,2,120840.63047285464
4850000,1-к квартира,3,22,ул.Эйнштейна,стр.1,Новоивановское,35.0,1,138571.42857142858
3700000,Студия,5,14,ул.Эйнштейна,стр.1,Новоивановское,19.5,0,189743.58974358975
3800000,Студия,10,25,ул.Эйнштейна,стр.3,Новоивановское,22.3,0,170403.5874439462
6000000,1-к квартира,14,22,ул.Эйнштейна,стр.2,Новоивановское,42.0,1,142857.14285714287
4600000,1-к квартира,16,22,ул.Эйнштейна,стр.1,Новоивановское,31.8,1,144654.08805031446
2500000,Студия,3,3,ул.Эйнштейна,стр.1,Новоивановское,30.0,0,83333.33333333333
3690000,Студия,6,22,ул.Эйнштейна,стр.2,Москва,24.1,0,153112.03319502075
5400000,1-к квартира,13,24,ул.Эйнштейна,стр.1,Новоивановское,40.4,1,133663.36633663366
7350000,2-к квартира,21,22,ул.Эйнштейна,стр.1,Новоивановское,54.7,2,134369.28702010968
7270000,2-к квартира,15,15,ул.Эйнштейна,стр.3,Москва,53.1,2,136911.48775894538
4250000,Студия,3,25,ул.Эйнштейна,стр.3,Москва,24.0,0,177083.33333333334
3800000,Студия,15,24,ул.Эйнштейна,стр.2,Москва,25.0,0,152000.0
4920000,1-к квартира,3,25,ул.Эйнштейна,стр.3,Москва,31.5,1,156190.47619047618
6800000,2-к квартира,13,22,ул.Эйнштейна,стр.2,Москва,52.0,2,130769.23076923077
7400000,2-к квартира,4,8,я»п.Сосенское,пос.Коммунарка,"стр.4.2,Москва",54.1,2,136783.73382624768
