price,flat_type,flat_floor,builing_floor,street,number_of_building,building_area,Size (m²),Rooms,Price/m²,size
4700000,1-к квартира,14,24,ул.Эйнштейна,стр.2,Новоивановское,38.0,1,123684.21052631579,38.0
4850000,1-к квартира,11,15,ул.Эйнштейна,стр.1,Новоивановское,34.6,1,140173.41040462427,34.6
4800000,1-к квартира,22,22,ул.Эйнштейна,стр.1,Новоивановское,34.2,1,140350.87719298244,34.2
4750000,1-к квартира,3,15,ул.Эйнштейна,стр.2,Новоивановское,34.6,1,137283.23699421965,34.6
6600000,2-к квартира,11,15,ул.Эйнштейна,стр.1,Новоивановское,57.0,2,115789.47368421052,57.0
6399000,2-к квартира,3,22,ул.Эйнштейна,стр.1,Новоивановское,54.0,2,118500.0,54.0
4600000,1-к квартира,12,22,ул.Эйнштейна,стр.1,Новоивановское,32.0,1,143750.0,32.0
5300000,1-к квартира,6,22,ул.Эйнштейна,стр.2,Москва,40.0,1,132500.0,40.0
6900000,2-к квартира,12,15,ул.Эйнштейна,стр.1,Новоивановское,57.1,2,120840.63047285464,57.1
4850000,1-к квартира,3,22,ул.Эйнштейна,стр.1,Новоивановское,35.0,1,138571.42857142858,35.0
6000000,1-к квартира,14,22,ул.Эйнштейна,стр.2,Новоивановское,42.0,1,142857.14285714287,42.0
4600000,1-к квартира,16,22,ул.Эйнштейна,стр.1,Новоивановское,31.8,1,144654.08805031446,31.8
3690000,Студия,6,22,ул.Эйнштейна,стр.2,Москва,24.1,0,153112.03319502075,24.1
5400000,1-к квартира,13,24,ул.Эйнштейна,стр.1,Новоивановское,40.4,1,133663.36633663366,40.4
7350000,2-к квартира,21,22,ул.Эйнштейна,стр.1,Новоивановское,54.7,2,134369.28702010968,54.7
7270000,2-к квартира,15,15,ул.Эйнштейна,стр.3,Москва,53.1,2,136911.48775894538,53.1
3800000,Студия,15,24,ул.Эйнштейна,стр.2,Москва,25.0,0,152000.0,25.0
6800000,2-к квартира,13,22,ул.Эйнштейна,стр.2,Москва,52.0,2,130769.23076923077,52.0
